Fecha,year,song,Intérprete,genero,loudness,loudness_recalculado
18 de julio,2009,I'm Yours,Jason Mraz,pop,-8.322,
25 de julio,2009,I'm Yours,Jason Mraz,pop,-8.322,
1 de agosto,2009,Poker Face,Lady Gaga,pop,-4.62,
8 de agosto,2009,Moving,Macaco,pop,-7.373,
15 de agosto,2009,Moving,Macaco,pop,-7.373,
22 de agosto,2009,Halo,Beyoncé,pop,-5.908,
29 de agosto,2009,Summercat,Billie the vision and the dancers,pop,-8.12,
3 de julio,2010,Waka Waka (Esto es África),Shakira con Freshlyground,pop,-4.825,-4.699111111
10 de julio,2010,Waka Waka (Esto es África),Shakira con Freshlyground,pop,-4.825,
17 de julio,2010,Wavin' Flag,K'naan con David Bisbal,urbana,-4.443,
24 de julio,2010,Wavin' Flag,K'naan con David Bisbal,urbana,-4.443,
31 de julio,2010,Waka Waka (Esto es África),Shakira con Freshlyground,pop,-4.825,
7 de agosto,2010,Waka Waka (Esto es África),Shakira con Freshlyground,pop,-4.825,
14 de agosto,2010,Waka Waka (Esto es África),Shakira con Freshlyground,pop,-4.825,
21 de agosto,2010,Waka Waka (Esto es África),Shakira con Freshlyground,pop,-4.825,
28 de agosto,2010,Alejandro,Lady Gaga,pop,-4.456,
2 de julio,2011,Give Me Everything,"Pitbull con Ne-Yo, Afrojack y Nayer",electrónica,-3.206,-3.680777778
9 de julio,2011,Give Me Everything,"Pitbull con Ne-Yo, Afrojack y Nayer",electrónica,-3.206,
16 de julio,2011,Party Rock Anthem,LMFAO con Lauren Bennett y GoonRock,electrónica,-4.136,
23 de julio,2011,Give Me Everything,"Pitbull con Ne-Yo, Afrojack y Nayer",electrónica,-3.206,
30 de julio,2011,Party Rock Anthem,LMFAO con Lauren Bennett y GoonRock,electrónica,-4.136,
6 de agosto,2011,Where Them Girls At,David Guetta con Flo Rida y Nicki Minaj,electrónica,-3.078,
13 de agosto,2011,Give Me Everything,"Pitbull con Ne-Yo, Afrojack y Nayer",electrónica,-3.206,
20 de agosto,2011,Give Me Everything,"Pitbull con Ne-Yo, Afrojack y Nayer",electrónica,-3.206,
27 de agosto,2011,Till the World Ends,Britney Spears,pop,-5.747,
7 de julio,2012,No hay 2 sin 3 (Gol),Cali & el Dandee con David Bisbal,pop,-4.338,-5.15025
14 de julio,2012,Call Me Maybe,Carly Rae Jepsen,pop,-6.53,
21 de julio,2012,Euphoria,Loreen,electrónica,-3.646,
28 de julio,2012,Payphone,Maroon 5 con Wiz Khalifa,pop,-4.774,
4 de agosto,2012,Dance Again,Jennifer Lopez con Pitbull,pop,-5.236,
11 de agosto,2012,Tacata',Tacabro,latino,-5.915,
18 de agosto,2012,Rayos de sol,José de Rico con Henry Méndez,latino,-4.233,
25 de agosto,2012,Call Me Maybe,Carly Rae Jepsen,pop,-6.53,
6 de julio,2013,I Could Be the One,Avicii con Nicky Romero,electrónica,-3.782,-5.058444444
13 de julio,2013,Let Her Go,Passenger,pop,-7.335,
20 de julio,2013,Let Her Go,Passenger,pop,-7.335,
27 de julio,2013,More than Friends,Inna con Daddy Yankee,pop,-4.583,
3 de agosto,2013,Cero,Dani Martín,pop,-4.193,
10 de agosto,2013,Chasing the Sun,The Wanted,electrónica,-6.111,
17 de agosto,2013,Blurred Lines,Robin Thicke con T.I. y Pharrell Williams,pop,-4.762,
24 de agosto,2013,I Love It,Icona Pop con Charli XCX,pop,-2.663,
31 de agosto,2013,Blurred Lines,Robin Thicke con T.I. y Pharrell Williams,pop,-4.762,
5 de julio,2014,Bailando,"Enrique Iglesias con Sean Paul, Gente de Zona y Descemer Bueno",latino,-7.11,-6.249222222
12 de julio,2014,Human,Christina Perri,pop,-4.097,
19 de julio,2014,Cola Song,Inna con J Balvin,electrónica,-3.072,
26 de julio,2014,Stolen Dance,Milky Chance,pop,-10.158,
2 de agosto,2014,No amanece,David Bisbal,pop,-4.872,
9 de agosto,2014,Summer,Calvin Harris,electrónica,-4.034,
16 de agosto,2014,Am I Wrong,Nico & Vinz,pop,-5.465,
23 de agosto,2014,Am I Wrong,Nico & Vinz,pop,-5.465,
30 de agosto,2014,Waves,Mr. Probz,electrónica,-11.97,
4 de julio,2015,Él no te da,Dasoul,electrónica,-4.409,-4.931777778
11 de julio,2015,Are You With Me?,Lost Frequencies,electrónica,-8.1,
18 de julio,2015,Are You With Me?,Lost Frequencies,electrónica,-8.1,
25 de julio,2015,Heroes,Måns Zelmerlöw,pop,-6.491,
1 de agosto,2015,Five More Hours,Deorro con Chris Brown,electrónica,-3.226,
8 de agosto,2015,I Really Like You,Carly Rae Jepsen,pop,-4.685,
15 de agosto,2015,Hey Mama,"David Guetta con Nicki Minaj, Bebe Rexha y Afrojack",electrónica,-4.091,
22 de agosto,2015,La gozadera,Gente de Zona con Marc Anthony,latino,-1.698,
29 de agosto,2015,Don't Worry,Madcon con Ray Dalton,pop,-3.586,
2 de julio,2016,One Dance,"Drake, Kyla y Wizkid",urbana,-5.886,-5.111444444
9 de julio,2016,Can't Stop the Feeling!,Justin Timberlake,electrónica,-5.715,
16 de julio,2016,Can't Stop the Feeling!,Justin Timberlake,electrónica,-5.715,
23 de julio,2016,Ain't Your Mama,Jennifer Lopez,pop,-5.529,
30 de julio,2016,Don't Let Me Down,The Chainsmokers con Daya,electrónica,-5.094,
6 de agosto,2016,Cómo te atreves,Morat,latino,-4.565,
13 de agosto,2016,This Girl,Kungs y Cookin’ on 3 Burners,electrónica,-4.77,
20 de agosto,2016,This Girl,Kungs y Cookin’ on 3 Burners,electrónica,-4.77,
27 de agosto,2016,La bicicleta,Carlos Vives con Shakira,latino,-3.959,
1 de julio,2017,Issues,Julia Michaels,pop,-6.827,-5.143777778
8 de julio,2017,Malibu,Miley Cyrus,pop,-6.406,
15 de julio,2017,Solo si es contigo,Bombai ft. Bebe,latino,-6.205,
22 de julio,2017,Attention,Charlie Puth,pop,-4.432,
29 de julio,2017,Attention,Charlie Puth,pop,-4.432,
5 de agosto,2017,"Yo contigo, tú conmigo",Morat y Álvaro Soler,latino,-6.878,
12 de agosto,2017,Mi gente,J Balvin y Willy William,latino,-4.915,
19 de agosto,2017,Wild Thoughts,DJ Khaled ft. Bryson Tiller y Rihanna,pop,-3.094,
26 de agosto,2017,Feels,"Calvin Harris ft. Big Sean, Katy Perry y Pharrell Williams",electrónica,-3.105,
