Artist,Song,Id,Popularity
Shakira,Hips Don't Lie,3ZFTkvIE7kyPt6Nu3PEa7V,83
Morat,Besos En Guerra,1d0c62VFYauOOgxZ2eFUxx,80
Chino & Nacho,Me Voy Enamorando - Remix,0nfBKG11Wv2bK8cPjMU5VB,63
Wisin,Todo Comienza en la Disco,3a2aBKuvgP1qHo3BqU3lGh,84
Shakira,Hips Don't Lie,3ZFTkvIE7kyPt6Nu3PEa7V,83
Sofia Reyes,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",4QtiVmuA88tPQiCOHZuQ5b,91
Amaral,ResurrecciÃ³n,3Y5q9wzGttSBUJdsy7OoPL,40
DubVision,Satellites,5GKPxzqKQgQpCCOjtFwZ2d,58
Amaral,ResurrecciÃ³n,3Y5q9wzGttSBUJdsy7OoPL,40
The Fray,How to Save a Life,5fVZC9GiM4e8vu99W0Xf6J,83
Nelly Furtado,All Good Things (Come To An End),7kcc5egncfK9lfapzrXzqF,34
Snow Patrol,Chasing Cars,0x6Y6ikSyS17NxfhWsgENm,77
MIKA,Grace Kelly,4Sqc0kPuZpfI0T2TZBu8JT,68
Shakira,Las de la IntuiciÃ³n,3uU6dqBjVKRTPis0RrTaT4,61
Nelly Furtado,All Good Things (Come To An End),7kcc5egncfK9lfapzrXzqF,34
Melendi,Calle la Pantomima,5rv6SY8fTA7h1sSIcKv33C,48
Leona Lewis,Bleeding Love,7wZUrN8oemZfsEd1CGkbXE,80
Sean Kingston,Beautiful Girls,1hGy2eLcmC8eKx7qr1tOqx,77
Shawn Mendes,Mercy,0Zxswuv5xzIhxDnsKJLq82,80
Sean Kingston,Beautiful Girls,1hGy2eLcmC8eKx7qr1tOqx,77
Kate Ryan,Ella Elle L A - Radio Version,4t32wWkxODpWp1HnBPp7rm,44
Shawn Mendes,Mercy,0Zxswuv5xzIhxDnsKJLq82,80
Kate Ryan,Ella Elle L A - Radio Version,4t32wWkxODpWp1HnBPp7rm,44
Carlos Baute,Colgando en tus manos (con Marta SÃ¡nchez),3UI9I3e1g1y5T3SMfdgfGO,72
Katy Perry,Hot N Cold,0iGckQFyv6svOfAbAY9aWJ,68
Jason Mraz,I'm Yours,1EzrEOXmMH3G43AXT1y7pA,85
Lady Gaga,Poker Face,1QV6tiMFM6fSOKOGLMHYYg,73
Macaco,Moving,4GmmUEm9e5jlZiZXalRpAk,42
BeyoncÃ©,Halo,4JehYebiI9JE8sR8MisGVb,81
Billie The Vision & The Dancers,Summercat,1uK7U9LJlSdz8Lm5eRn9EM,50
Shakira,Waka Waka (This Time for Africa) (The Official 2010 FIFA World Cup (TM) Song),2Cd9iWfcOpGDHLz6tVA3G4,74
K'NAAN,Wavin' Flag - Coca-ColaÂ® Spanish Celebration Mix,6A6k3P46AFNUOgkK8YkuBc,45
Shakira,Waka Waka (This Time for Africa) (The Official 2010 FIFA World Cup (TM) Song),2Cd9iWfcOpGDHLz6tVA3G4,74
Melendi,DÃ©jala Que Baile,2KK9N6iBAisA0booTu3bGd,70
Pitbull,Give Me Everything,4QNpBfC0zvjKqPJcyqBy9W,75
LMFAO,Party Rock Anthem,7mitXLIMCflkhZiD34uEQI,70
Pitbull,Give Me Everything,4QNpBfC0zvjKqPJcyqBy9W,75
LMFAO,Party Rock Anthem,7mitXLIMCflkhZiD34uEQI,70
David Guetta,Where Them Girls At (feat. Nicki Minaj & Flo Rida),7ks6AZmFcm3Y6PGGxGSmlB,69
Pitbull,Give Me Everything,4QNpBfC0zvjKqPJcyqBy9W,75
Britney Spears,Till the World Ends,38iU2jg98IZZEIJPrP7aWD,64
